Identifiant,Pseudo,Langue,Niveau,Points,Contributeur
33,jilibini,FR,DÉBUTANT,9.0,false
44,jili,NL,PRO,28.5,false
3,jilic,NL,DÉBUTANT,0.0,true
2,julie,RU,DÉBUTANT,0.0,false
2511,ayusekyo,FR,DÉBUTANT,5.0,false
13,coucou,RU,INTERMÉDIAIRE,14.0,false
1,testFr,FR,AVANCÉ,25.0,false
89,oui,NL,INTERMÉDIAIRE,18.0,false
67,non,NL,INTERMÉDIAIRE,17.0,false
23,blague,FR,INTERMÉDIAIRE,10.0,false
111,marina,NL,DÉBUTANT,0.0,true
222,marinaaa,FR,DÉBUTANT,0.0,true
333,marinavodka,RU,PRO,33.0,false
444,marinagouda,NL,PRO,36.25,false
9,testRu,RU,DÉBUTANT,0.0,true
